bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,LAT,LON,Unnamed: 0,plot_ID,system:index
132.0,141.0,41.0,7335.0,298.0,-40.0,338.0,49.0,138.0,224.0,34.0,1507.0,161.0,90.0,14.0,440.0,313.0,373.0,411.0,35.138399,-84.180002,1,37_39_63,0
107.0,129.0,40.0,6920.0,261.0,-56.0,317.0,28.0,159.0,193.0,15.0,1860.0,193.0,125.0,10.0,523.0,412.0,448.0,496.0,35.056361,-83.650709,2,37_43_9,1
100.0,124.0,39.0,6957.0,252.0,-64.0,316.0,169.0,23.0,186.0,7.0,1480.0,144.0,105.0,9.0,400.0,330.0,397.0,330.0,35.795849,-82.229811,3,37_199_11,2
97.0,122.0,38.0,6938.0,248.0,-66.0,314.0,167.0,20.0,183.0,4.0,1486.0,145.0,106.0,9.0,402.0,333.0,399.0,333.0,35.804517,-82.350409,4,37_21_56,3
136.0,138.0,40.0,7486.0,307.0,-35.0,342.0,213.0,51.0,231.0,37.0,1264.0,122.0,92.0,9.0,344.0,278.0,340.0,286.0,35.898331,-81.810685,5,37_23_5,4
93.0,117.0,37.0,7104.0,244.0,-69.0,313.0,11.0,145.0,181.0,-2.0,1877.0,192.0,124.0,10.0,519.0,412.0,460.0,490.0,35.28354,-83.969726,6,37_75_24,5
122.0,138.0,41.0,7217.0,284.0,-50.0,334.0,40.0,129.0,212.0,25.0,1560.0,164.0,94.0,13.0,448.0,324.0,389.0,423.0,35.374042,-83.913566,7,37_75_12,6
106.0,130.0,40.0,7066.0,263.0,-61.0,324.0,25.0,158.0,193.0,11.0,1716.0,178.0,110.0,11.0,481.0,372.0,422.0,455.0,35.374272,-83.735862,8,37_75_17,7
111.0,131.0,40.0,6987.0,268.0,-55.0,323.0,109.0,34.0,199.0,18.0,1434.0,142.0,103.0,9.0,388.0,322.0,375.0,322.0,35.713585,-82.124406,9,37_111_56,8
98.0,119.0,38.0,6831.0,248.0,-58.0,306.0,21.0,149.0,184.0,7.0,2040.0,204.0,148.0,7.0,546.0,472.0,508.0,518.0,35.101422,-83.201614,10,37_113_31,9
91.0,114.0,37.0,6896.0,237.0,-65.0,302.0,12.0,142.0,176.0,-1.0,2055.0,207.0,146.0,8.0,557.0,469.0,507.0,526.0,35.046375,-83.471467,11,37_113_42,10
128.0,144.0,43.0,7025.0,290.0,-44.0,334.0,49.0,135.0,216.0,34.0,1582.0,168.0,105.0,11.0,452.0,348.0,381.0,425.0,35.149178,-83.414789,12,37_113_20,11
94.0,119.0,38.0,6926.0,243.0,-65.0,308.0,15.0,146.0,180.0,1.0,1957.0,199.0,135.0,9.0,536.0,440.0,481.0,507.0,35.161208,-83.575031,13,37_113_78,12
114.0,132.0,40.0,7271.0,275.0,-55.0,330.0,186.0,70.0,204.0,17.0,1193.0,122.0,78.0,13.0,337.0,252.0,334.0,274.0,36.01385,-82.632125,14,37_115_35,13
116.0,140.0,42.0,7107.0,277.0,-56.0,333.0,35.0,123.0,204.0,20.0,1523.0,160.0,94.0,12.0,429.0,323.0,381.0,402.0,35.492631,-83.501103,15,37_173_81,14
109.0,134.0,40.0,7103.0,268.0,-59.0,327.0,29.0,162.0,198.0,14.0,1615.0,168.0,101.0,11.0,453.0,347.0,402.0,427.0,35.492266,-83.653628,16,37_173_83,15
110.0,132.0,40.0,7178.0,268.0,-59.0,327.0,28.0,164.0,199.0,14.0,1628.0,169.0,101.0,12.0,458.0,346.0,404.0,433.0,35.487887,-83.803517,17,37_173_84,16
95.0,123.0,38.0,7012.0,249.0,-67.0,316.0,93.0,102.0,183.0,1.0,1687.0,170.0,114.0,9.0,455.0,379.0,431.0,422.0,35.602497,-83.273274,18,37_173_87,17
89.0,118.0,37.0,7036.0,240.0,-71.0,311.0,87.0,96.0,176.0,-5.0,1782.0,179.0,121.0,9.0,480.0,402.0,453.0,447.0,35.599113,-83.420678,19,37_173_88,18
119.0,134.0,40.0,7271.0,281.0,-51.0,332.0,36.0,173.0,209.0,22.0,1617.0,171.0,99.0,13.0,466.0,341.0,396.0,438.0,35.219374,-84.139063,20,37_39_1,19
129.0,141.0,41.0,7289.0,294.0,-43.0,337.0,46.0,136.0,220.0,32.0,1528.0,163.0,92.0,14.0,446.0,318.0,379.0,416.0,35.149167,-84.116066,21,37_39_28,20
133.0,141.0,41.0,7323.0,300.0,-38.0,338.0,50.0,140.0,224.0,35.0,1510.0,162.0,91.0,14.0,443.0,315.0,372.0,412.0,35.072756,-84.162885,22,37_39_57,21
