plot_ID,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
21_109_1,125.5,127.2,35.3,8175.3,297.6,-55.6,353.2,208.3,185.6,227.2,15.3,1244.2,127.5,75.8,13,354.1,270.7,332.3,292.9
21_109_11,123.3,126.2,35,8174.3,295.5,-57.8,353.3,206.3,183.2,224.9,13.1,1253.6,128.8,76.3,13,357.6,273.1,335.9,293.8
21_109_12,123.4,124.9,35,8194.1,295.4,-57.3,352.7,206.6,183.3,225.3,12.7,1252.4,128.4,75.8,13,357.9,273.2,337,292.6
21_109_23,124.4,131.5,36,8207.4,299.1,-59.5,358.6,207.5,174.5,226.5,13.8,1226.8,129.5,74.6,13.9,352.5,268.7,334.6,285.6
21_109_27,122,128.8,36,8177,295,-60,355,204.9,182.3,223.7,12,1247.2,130,76,13,357.6,273.1,338.5,291
21_109_33,122.3,128.1,36,8157.7,294.4,-59.7,354.1,204.9,182,223.6,12.2,1253.3,130,76.9,13,358.4,273.7,337.8,292.9
21_109_37,123.9,124.8,35,8195.4,295.3,-56.7,352,206.8,183.4,225.8,13.1,1258,128.2,76.2,13,358.3,273.6,336.3,295.4
21_109_8,122.8,125.6,35,8206.2,295,-58.2,353.2,205.8,182.7,224.3,12,1251.1,128.9,75.8,13.1,358.1,273.6,337.9,291.9
21_11_22,120.9,132.7,36,8344.3,301.4,-61.7,363.1,205.3,130.5,224.5,8.8,1187.7,132,72.3,16,353.8,250.4,337.2,267.5
21_11_25,120,132.6,36,8329,300,-62.7,362.7,204.5,129.5,223.5,8,1204.7,133.6,73.1,16,357.8,254.7,340.8,272.5
21_11_31,121.6,130.3,35.4,8420.1,301.8,-61.3,363.1,206.7,131.8,226.5,8.6,1180.9,128.3,71.5,16,348.3,250.6,331.1,264.1
21_11_32,122.5,132.5,36,8354.8,303,-60.5,363.5,207.1,132,226.3,10.4,1202.3,132.4,72.1,16,354.8,254,337.8,272.6
21_125_1,126.7,128.5,36,8044.5,297.5,-53.1,350.6,208,185.1,226.5,17.9,1261,127.3,77.5,12.5,354.7,272.1,330.9,302.1
21_125_13,127.3,128.4,36.1,8054.3,298.8,-52.6,351.4,208.7,185.7,226.8,18.5,1264.8,126.6,77.8,12,354.9,273.8,330.9,303.5
21_125_14,128.4,129.8,36.8,8017.9,300,-50.6,350.6,209.4,186.6,228.1,20.4,1267.6,126,78,12,354.7,274,331,306.5
21_125_22,128.1,130.8,37,7994,300.3,-50.3,350.6,209.1,186.5,227.9,20.4,1269.2,125.7,78.2,12,354.4,273.9,331.1,308.3
21_125_31,126.6,129.1,36.1,8025.4,297.8,-52.3,350.1,208,185,226.4,18.6,1263.8,127,77.9,12,354.8,272.6,331.4,303.8
21_125_32,127.8,128.2,36,8087.6,299.3,-52.3,351.6,209.4,187,228.2,18.4,1263.1,126.1,77.6,12,354.6,273.6,330.2,303.3
21_125_41,128.5,130.1,36.7,8031.1,300.1,-50.9,351,209.6,187.1,228.1,20.1,1259.8,125.9,77.4,12,353,272,329.4,304
21_125_43,127.1,127.4,35.5,8136.5,298.9,-53.7,352.6,209.1,186.8,228.1,17.1,1251.8,126.5,76.5,13,353.5,270.7,329.4,298.1
21_125_44,126.2,126.7,36,8094.9,296.7,-54.4,351.1,207.8,185.3,226.3,16.2,1267.3,127,77.8,12.6,356.3,274.5,332.3,302.5
21_125_8,127.2,127,35.4,8126.2,298.6,-53.5,352.1,209.1,186.3,228,17,1261.2,126.4,77.3,13,355.1,273.2,331,301.3
21_129_13,122.6,133.7,36.5,8230.7,299.7,-61.5,361.2,206.2,131.8,225.1,12,1229.6,131.6,74.6,14,355.6,267.1,339.6,285.4
21_129_15,123.7,133.7,36.5,8235.4,300.8,-60.5,361.3,207.2,133.3,226.3,12.9,1220.9,130.7,73.8,14,352.7,265.2,336.7,283.3
21_129_6,123.7,131.9,36,8212.9,298.3,-60,358.3,206.4,132.8,225.6,13,1227.5,130,74.3,14,353.3,267.9,336.2,285.4
21_131_1,122.7,135.7,37.4,8048.7,297.8,-59,356.8,204.7,181.4,223.6,14.8,1247.5,129.1,79.7,12,357.1,274.2,341.1,296.5
21_131_17,121.9,134.2,37.2,7999.1,295.8,-58.1,353.9,202.9,180.2,221.9,14.9,1265.7,130,81,12,360.7,274.9,344.4,305
21_131_19,123.9,136.7,37.9,8055.8,299.2,-57.7,356.9,205.8,162.5,224.9,16.2,1236.6,128.1,79.4,12,354.1,272.2,338.9,293.9
21_131_21,116.3,129.7,37.1,7894.8,286.8,-58.5,345.3,196.4,173.9,214.9,10.7,1303.4,131.2,82,12,366.5,278.2,350.4,322.2
21_131_22,120.1,132.7,37.6,7955.9,292.6,-57,349.6,200.7,142.6,219.2,13.1,1271,129.1,81,12,359.5,273.8,343.9,310.5
21_131_26,121.8,134.5,37.7,7979.3,295.2,-56.9,352.1,202.8,180.7,221.6,15,1274,130.4,81.4,12,361.8,274.7,344.8,309.1
21_131_3,124,136.5,38,8028.3,298.4,-57.5,355.9,205.5,182.9,224,16.5,1249.1,129.3,79.9,12,356.5,272.9,340,298
21_131_31,121.3,133.9,37,7986.8,294.2,-58.6,352.8,202.2,179.8,220.8,14.3,1271.2,130.6,81.1,12,362.4,276.3,345.4,305.5
21_131_4,120.3,133.2,37.3,7974.5,292.9,-58.5,351.4,201.2,178.5,219.8,13.7,1281.6,131.1,81.7,12,364.6,277.2,347.2,309.7
21_131_5,125.3,137,38.2,8019.1,299.8,-55.4,355.2,206.3,184.6,225.4,18.1,1258.9,130.2,80.2,12,358.8,271.4,341,303.7
21_131_7,117.1,130.4,37.2,7907.4,288,-58.4,346.4,197.1,174.8,215.6,11,1306.3,131.5,82.2,12,367.1,278.2,350.6,323.3
21_131_8,121.9,134.7,37.5,8011,295.5,-58.2,353.7,203.3,180.4,221.8,14.7,1260,129.5,80.6,12,359.4,275.1,343.2,301.8
