plot_ID,X,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
13_111_1,15924.5,126.6,132.9,40.0,7200.5,287.2,-40.8,328.0,44.9,179.6,216.9,30.7,1628.9,176.0,103.2,13.5,478.8,347.8,387.8,444.9
13_111_100,18014.5,110.8,120.3,36.8,7308.1,267.8,-53.4,321.2,27.6,164.2,202.3,13.5,1747.8,185.7,112.1,12.3,500.9,371.4,413.4,469.4
13_111_101,17524.5,118.8,124.4,37.7,7338.9,277.7,-47.0,324.7,35.4,172.5,210.2,20.9,1680.6,179.5,106.7,13.0,486.1,355.1,396.3,455.3
13_111_102,16864.5,117.1,123.2,37.6,7344.1,276.0,-48.3,324.3,34.1,170.9,209.2,19.4,1693.4,180.8,107.8,12.7,489.2,357.7,398.6,458.2
13_111_103,17554.5,124.2,126.9,37.8,7414.1,285.5,-43.1,328.6,40.1,178.8,216.7,25.7,1628.4,174.6,102.8,13.0,473.2,342.5,382.6,443.5
13_111_105,19464.5,116.4,123.4,38.0,7146.0,271.9,-47.2,319.1,35.3,168.9,205.9,21.4,1750.4,187.5,113.8,12.4,508.0,376.0,414.2,474.0
13_111_107,19294.5,127.2,137.1,40.9,7235.2,291.0,-41.2,332.2,45.7,171.7,218.1,31.2,1581.9,169.9,97.8,13.9,463.9,336.3,383.1,431.2
13_111_11,15594.5,125.1,131.0,39.3,7248.2,286.1,-41.6,327.7,43.1,178.5,216.0,29.0,1638.0,176.2,103.2,13.2,480.3,347.3,389.8,447.3
13_111_112,19444.5,133.3,138.3,41.0,7347.6,300.5,-35.5,336.0,50.5,187.0,225.5,35.9,1540.6,165.7,93.7,14.0,453.3,323.7,371.7,422.3
13_111_116,16014.5,132.1,137.0,40.2,7378.0,299.1,-36.2,335.3,48.8,186.4,224.5,34.1,1547.0,166.1,94.2,14.0,454.1,324.6,372.0,423.8
