bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,plot_ID
132,141,41,7335,298,-40,338,49,138,224,34,1507,161,90,14,440,313,373,411,37_39_63
107,129,40,6920,261,-56,317,28,159,193,15,1860,193,125,10,523,412,448,496,37_43_9
100,124,39,6957,252,-64,316,169,23,186,7,1480,144,105,9,400,330,397,330,37_199_11
97,122,38,6938,248,-66,314,167,20,183,4,1486,145,106,9,402,333,399,333,37_21_56
136,138,40,7486,307,-35,342,213,51,231,37,1264,122,92,9,344,278,340,286,37_23_5
93,117,37,7104,244,-69,313,11,145,181,-2,1877,192,124,10,519,412,460,490,37_75_24
122,138,41,7217,284,-50,334,40,129,212,25,1560,164,94,13,448,324,389,423,37_75_12
106,130,40,7066,263,-61,324,25,158,193,11,1716,178,110,11,481,372,422,455,37_75_17
111,131,40,6987,268,-55,323,109,34,199,18,1434,142,103,9,388,322,375,322,37_111_56
98,119,38,6831,248,-58,306,21,149,184,7,2040,204,148,7,546,472,508,518,37_113_31
91,114,37,6896,237,-65,302,12,142,176,-1,2055,207,146,8,557,469,507,526,37_113_42
128,144,43,7025,290,-44,334,49,135,216,34,1582,168,105,11,452,348,381,425,37_113_20
94,119,38,6926,243,-65,308,15,146,180,1,1957,199,135,9,536,440,481,507,37_113_78
114,132,40,7271,275,-55,330,186,70,204,17,1193,122,78,13,337,252,334,274,37_115_35
116,140,42,7107,277,-56,333,35,123,204,20,1523,160,94,12,429,323,381,402,37_173_81
109,134,40,7103,268,-59,327,29,162,198,14,1615,168,101,11,453,347,402,427,37_173_83
110,132,40,7178,268,-59,327,28,164,199,14,1628,169,101,12,458,346,404,433,37_173_84
95,123,38,7012,249,-67,316,93,102,183,1,1687,170,114,9,455,379,431,422,37_173_87
89,118,37,7036,240,-71,311,87,96,176,-5,1782,179,121,9,480,402,453,447,37_173_88
119,134,40,7271,281,-51,332,36,173,209,22,1617,171,99,13,466,341,396,438,37_39_1
129,141,41,7289,294,-43,337,46,136,220,32,1528,163,92,14,446,318,379,416,37_39_28
133,141,41,7323,300,-38,338,50,140,224,35,1510,162,91,14,443,315,372,412,37_39_57
95,120,38,6906,246,-64,310,93,102,182,3,1768,176,130,8,472,413,456,427,37_87_28
88,113,37,6867,234,-67,301,86,95,173,-4,1973,194,148,7,522,468,504,479,37_99_10
117,134,41,6931,275,-47,322,115,124,204,25,1804,183,132,8,481,418,451,454,37_99_8
89,115,37,6932,237,-70,307,160,-3,176,-3,1620,156,116,9,437,363,434,363,37_21_4
125,132,39,7388,290,-44,334,200,42,218,27,1333,127,95,9,362,291,357,294,37_27_8
111,134,40,7088,272,-56,328,109,117,200,17,1351,139,86,11,370,291,357,333,37_87_37
97,123,39,6905,249,-63,312,19,149,183,5,1852,188,128,9,502,421,462,473,37_173_40
124,140,42,6929,283,-45,328,45,131,210,32,1726,181,119,10,486,388,413,461,37_113_40
98,125,39,7012,251,-65,316,18,104,185,4,1719,175,114,9,468,382,433,440,37_173_44
117,133,40,7053,277,-49,326,206,74,206,24,1357,136,101,10,366,308,366,314,37_21_2
107,125,38,7144,264,-57,321,179,11,196,11,1415,134,100,10,387,309,382,309,37_11_6
120,131,39,7299,285,-47,332,195,38,212,23,1346,129,96,9,367,295,361,296,37_27_45
109,128,39,7062,266,-57,323,105,30,197,14,1438,139,103,9,388,319,383,319,37_111_65
