bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,plot_ID
103,131,39,7460,269,-65,334,179,4,197,4,1109,112,76,11,317,237,300,237,51_197_96
117,126,37,7837,287,-53,340,197,13,216,13,1115,107,77,10,301,241,290,241,51_9_98
104,120,35,7736,271,-63,334,183,1,201,1,1187,112,83,10,317,255,308,255,51_23_90
106,132,38,7636,276,-66,342,184,4,201,4,988,102,67,13,288,208,274,208,51_155_72
118,139,39,7938,298,-58,356,200,12,218,12,981,101,67,12,281,206,276,206,51_5_62
113,135,38,7898,289,-60,349,194,8,212,8,1005,102,70,12,284,213,279,213,51_5_44
99,125,37,7681,266,-70,336,177,-4,194,-4,1090,107,75,11,304,227,296,227,51_45_51
111,134,38,7791,286,-61,347,191,7,209,7,963,99,66,13,277,201,269,201,51_45_22
120,138,39,7907,298,-55,353,201,14,219,14,1006,102,68,12,285,210,279,210,51_5_46
110,131,37,7876,284,-63,347,190,5,208,5,1058,105,74,11,294,225,288,225,51_5_59
93,121,37,7458,254,-71,325,169,11,186,-7,1128,113,81,11,325,247,308,248,51_197_78
102,132,37,7935,278,-73,351,183,-4,202,-4,1031,104,69,12,291,212,284,212,51_91_1
99,130,37,7905,274,-75,349,180,-6,198,-6,1071,106,73,11,298,224,290,224,51_91_30
91,117,36,7497,249,-74,323,167,8,184,-10,1134,115,83,12,328,250,311,251,51_21_68
104,129,38,7518,269,-64,333,180,59,197,3,1086,112,78,12,316,239,302,244,51_21_81
124,129,37,7860,292,-54,346,202,182,221,17,1358,131,86,11,374,295,351,334,21_147_13
124,137,38,8058,299,-58,357,206,183,225,16,1235,128,79,12,354,272,339,293,21_131_19
122,134,38,7979,294,-58,352,202,180,221,15,1274,131,81,12,363,276,346,307,21_131_4
118,131,37,7911,289,-58,347,198,176,217,12,1303,131,82,12,366,277,350,323,21_131_7
123,135,38,8021,297,-57,354,204,182,223,16,1278,131,81,12,363,274,346,311,21_51_7
122,134,37,8012,295,-59,354,203,180,222,14,1265,131,81,12,362,276,344,301,21_51_3
121,133,37,8014,294,-59,353,202,180,222,14,1291,132,82,12,367,278,347,311,21_51_53
121,124,35,8242,294,-60,354,205,130,223,10,1251,130,75,14,360,273,341,290,21_65_11
113,128,35,8391,291,-69,360,198,123,217,0,1163,126,74,16,347,250,331,254,21_205_21
123,125,35,8187,294,-58,352,206,182,224,12,1258,129,76,13,359,274,338,294,21_109_12
123,135,38,8007,297,-57,354,205,181,223,16,1283,132,82,12,365,276,345,309,21_51_15
118,128,37,7851,287,-57,344,197,175,216,12,1385,135,87,12,383,297,360,341,21_147_10
126,138,38,8103,302,-58,360,208,185,227,17,1228,128,78,12,351,270,335,291,21_189_10
118,132,36,8358,298,-65,363,203,128,222,6,1190,132,74,16,355,253,339,267,21_205_15
122,134,37,8009,295,-60,355,203,180,222,14,1270,131,81,12,363,276,344,303,21_51_2
114,129,35,8400,293,-69,362,199,125,218,1,1168,127,74,16,349,250,333,256,21_205_3
118,137,37,8304,299,-66,365,202,128,222,6,1158,131,74,16,348,247,333,258,21_205_5
124,126,35,8185,296,-56,352,207,184,226,14,1255,128,76,13,357,273,335,295,21_109_1
129,131,37,8039,302,-51,353,210,188,229,21,1253,125,77,12,351,271,328,302,21_125_41
127,132,37,8009,299,-52,351,208,186,227,19,1257,127,77,13,354,269,331,303,21_235_10
128,129,36,7972,299,-51,350,208,186,226,20,1290,126,80,12,359,281,335,314,21_199_28
126,130,37,7959,297,-52,349,206,185,225,19,1304,127,81,11,362,284,338,318,21_147_39
123,135,40,7351,285,-47,332,40,178,215,25,1543,163,92,14,442,320,385,417,47_123_110
106,126,38,7233,263,-61,324,23,160,196,9,1717,179,108,12,484,366,420,457,47_123_95
122,135,40,7336,285,-49,334,39,177,213,24,1573,167,95,13,453,329,388,426,47_123_69
141,134,39,7577,307,-31,338,55,197,235,40,1402,150,82,15,403,283,351,381,47_123_118
117,132,39,7377,281,-52,333,191,72,209,19,1166,122,73,14,332,243,327,271,47_59_63
96,122,38,7051,250,-67,317,167,56,184,2,1383,134,99,10,385,306,381,310,47_171_42
109,130,39,7199,268,-59,327,181,66,199,13,1259,125,87,12,352,273,347,287,47_171_34
108,130,39,7150,267,-59,326,180,66,197,12,1284,127,91,11,359,281,353,291,47_171_39
138,138,40,7553,308,-34,342,54,194,233,38,1471,159,89,14,429,306,351,404,47_139_94
138,136,39,7572,307,-34,341,53,193,233,37,1478,160,91,14,430,308,349,405,47_139_57
133,138,40,7453,301,-38,339,49,188,226,34,1506,162,90,14,439,314,366,411,47_139_68
98,124,38,7080,252,-66,318,96,105,186,3,1463,146,99,10,398,326,390,349,47_29_31
142,137,40,7574,311,-30,341,57,198,237,41,1449,157,90,14,423,303,341,398,47_139_62
108,128,39,7235,266,-59,325,180,65,198,11,1266,128,87,12,358,275,352,289,47_179_13
116,132,39,7356,278,-54,332,190,72,208,18,1203,125,79,13,345,256,337,277,47_179_43
130,136,40,7555,297,-43,340,206,138,224,29,1131,123,70,14,331,236,322,264,47_179_30
121,134,39,7446,287,-50,337,196,76,214,22,1149,123,72,14,332,239,326,265,47_179_18
110,134,38,7911,287,-64,351,191,5,210,5,1034,104,69,12,290,214,281,214,51_15_55
92,116,34,7806,258,-76,334,101,-12,190,-12,1276,125,89,10,349,275,322,275,51_9_24
109,122,36,7735,272,-62,334,187,63,204,4,1220,126,83,12,353,269,340,276,51_51_38
108,133,38,7918,284,-65,349,189,3,207,3,1070,107,75,11,299,227,291,227,51_17_52
