"","X","STATECD","COUNTYCD","PLOT","CONDID","CYCLE","uniq_obs_unit_id","uniq_spl_unit_id","fortypcd","owngrpcd","owncd","aspect","aspect_rad","aspect_sin","aspect_cos","slope","adforcd","cpa","mean_dia","mean_actualht","mean_HD","diversity","num_trees","num_species","qmd","tph","baph","ownership","nf_np","exp_dia"
"1",134822,13,55,5,1,7,"13_55_5_1_7","13_55_5_1","405",10,11,0,0,0,1,0,803,45.729435977032,19.1885454545455,14.6858181818182,82.8537820083733,5.00138580285589,33,8,20.544997140792,1172.22849814424,19.6738356058923,"Chattahoochee-Oconee","National Forest",215515944.796412
"2",134855,13,55,5,1,8,"13_55_5_1_8","13_55_5_1","163",10,11,104,1.8151424220741,0.970295726275996,-0.241921895599668,40,803,48.2154814811227,19.1392432432432,13.4029621621622,73.9277739099311,4.91799195313907,37,8,20.4067412126218,1231.71210765878,21.541792243031,"Chattahoochee-Oconee","National Forest",205148208.307882
"3",134892,13,55,5,1,9,"13_55_5_1_9","13_55_5_1","405",10,11,113,1.97222205475359,0.92050485345244,-0.390731128489274,36,803,50.1990200313053,20.574,12.6402352941176,65.7291568840474,3.70670447562801,34,7,22.0314372765507,1187.09940052287,22.1308817573673,"Chattahoochee-Oconee","National Forest",861340108.436871
"4",134926,13,55,5,1,10,"13_55_5_1_10","13_55_5_1","405",10,11,90,1.5707963267949,1,6.12303176911189e-17,39,803,55.6094491953585,21.288375,13.46835,70.3142012162845,3.39117231951513,32,6,23.0478758836905,1327.72977567793,23.5434818245403,"Chattahoochee-Oconee","National Forest",1759639859.89808
"5",134958,13,55,5,1,11,"13_55_5_1_11","13_55_5_1","405",10,11,135,2.35619449019234,0.707106781186548,-0.707106781186547,37,803,64.7457330725635,22.4289696969697,14.8613090909091,73.3525301479356,3.36400469065148,33,6,24.217949766838,1172.22849814424,25.4062468367983,"Chattahoochee-Oconee","National Forest",5505259235.72042
"6",134991,13,55,5,1,12,"13_55_5_1_12","13_55_5_1","405",10,11,135,2.35619449019234,0.707106781186548,-0.707106781186547,37,803,75.1875300994789,23.0994857142857,15.0484114285714,71.334769834494,3.52512312833522,35,6,24.9961590443698,1201.97030290151,28.8666662157092,"Chattahoochee-Oconee","National Forest",10764136105.9854
"7",135026,13,55,19,1,7,"13_55_19_1_7","13_55_19_1","501",10,11,0,0,0,1,0,803,46.7994557524276,18.8383333333333,16.3449,97.0610898862329,6.15455062660615,24,8,21.1535392625757,1379.13473656119,16.3713125283772,"Chattahoochee-Oconee","National Forest",151839307.688223
"8",135050,13,55,19,1,8,"13_55_19_1_8","13_55_19_1","503",10,11,298,5.2010811709431,-0.882947592858927,0.46947156278589,21,803,42.1574164338046,21.2164705882353,17.4453176470588,90.4751976664063,6.62305677186234,17,8,23.4590935485079,763.921880173764,12.6652463164353,"Chattahoochee-Oconee","National Forest",1637555778.72213
"9",135067,13,55,19,1,9,"13_55_19_1_9","13_55_19_1","503",10,11,285,4.97418836818384,-0.965925826289068,0.258819045102521,21,803,45.6137514266064,21.5152941176471,18.4314352941176,93.1165801570833,7.67320350285577,17,9,23.749459416758,763.921880173764,13.2205606310782,"Chattahoochee-Oconee","National Forest",2207870068.07027
"10",135084,13,55,19,1,10,"13_55_19_1_10","13_55_19_1","503",10,11,285,4.97418836818384,-0.965925826289068,0.258819045102521,23,803,49.9409002223139,20.6102857142857,16.3285714285714,84.85401152859,6.92521255596755,21,8,22.9790297942649,823.405489688302,15.2963193821676,"Chattahoochee-Oconee","National Forest",893168413.751168
"11",135105,13,55,19,1,11,"13_55_19_1_11","13_55_19_1","503",10,11,283,4.93928178314395,-0.974370064785235,0.224951054343865,23,803,53.4781156428299,21.0566,16.55064,89.0360859584935,6.09951684981115,20,7,23.8334034917382,808.534587309667,15.5516886188131,"Chattahoochee-Oconee","National Forest",1395613583.05447
"12",135125,13,55,21,1,10,"13_55_21_1_10","13_55_21_1","502",10,11,80,1.39626340159546,0.984807753012208,0.17364817766693,20,803,49.0779331094122,21.6444285714286,15.1093714285714,85.1662728933721,3.37160233295389,14,5,27.2483608576474,1060.05353286252,13.5904253730741,"Chattahoochee-Oconee","National Forest",2512209725.27554
"13",135139,13,55,21,1,11,"13_55_21_1_11","13_55_21_1","502",10,11,92,1.60570291183478,0.999390827019096,-0.0348994967025007,24,803,41.0130757358335,30.3711428571429,20.3345142857143,78.3258076610698,1.50699306577254,7,2,34.1475177345085,274.468496562767,10.2098358880296,"Chattahoochee-Oconee","National Forest",15488870615482.6
"14",135146,13,55,21,3,11,"13_55_21_3_11","13_55_21_3","163",10,11,175,3.05432619099008,0.0871557427476586,-0.996194698091746,14,803,6.05445309421774,37.846,20.4216,53.9597315436242,1,1,1,37.846,14.8709023786343,1.67284197946175,"Chattahoochee-Oconee","National Forest",27309198998623884
"15",135147,13,55,35,1,7,"13_55_35_1_7","13_55_35_1","404",10,11,0,0,0,1,0,803,40.7576526971779,19.6184761904762,13.8611428571429,81.9408175668205,5.24069447182051,21,9,22.6326889002863,1504.89420933761,17.3277367974709,"Chattahoochee-Oconee","National Forest",331280560.948489
"16",135168,13,55,35,1,8,"13_55_35_1_8","13_55_35_1","404",10,11,355,6.19591884457987,-0.0871557427476583,0.996194698091746,23,803,27.5644657961308,20.939125,14.76375,82.2926340236262,2.8218489457419,16,5,23.5824500900564,578.678797882803,10.8179156696802,"Chattahoochee-Oconee","National Forest",1240927598.23951
"17",135184,13,55,35,1,9,"13_55_35_1_9","13_55_35_1","404",10,11,324,5.65486677646163,-0.587785252292473,0.809016994374947,21,803,31.5962337972515,21.4555294117647,15.5806588235294,82.4226760807628,3.32040685719463,17,6,24.0483143692027,593.549700261437,11.9399426993224,"Chattahoochee-Oconee","National Forest",2079783028.01587
"18",135201,13,55,35,1,10,"13_55_35_1_10","13_55_35_1","404",10,11,340,5.93411945678072,-0.342020143325669,0.939692620785908,24,803,33.4542307482298,22.606,16.5354,83.0909171514457,3.58486101484904,16,5,25.1456792908841,408.306617970476,12.1610660795285,"Chattahoochee-Oconee","National Forest",6571447731.24382
"19",135217,13,55,35,1,11,"13_55_35_1_11","13_55_35_1","404",10,11,333,5.81194640914112,-0.453990499739547,0.891006524188368,21,803,38.211784332509,21.4429473684211,16.1383578947368,86.1485959822618,3.65017430572568,19,5,24.4440838693236,623.291505018706,13.9955264613568,"Chattahoochee-Oconee","National Forest",2053779042.50045
"20",135236,13,55,35,1,12,"13_55_35_1_12","13_55_35_1","404",10,11,343,5.98647933434055,-0.292371704722736,0.956304755963036,21,803,50.8752518846309,22.098,16.5753142857143,84.2735770509412,4.02448902924823,21,6,25.1334129151197,823.405489688302,18.2399657706145,"Chattahoochee-Oconee","National Forest",3954025457.14056
"21",135257,13,55,37,1,7,"13_55_37_1_7","13_55_37_1","510",10,11,0,0,0,1,0,803,84.441588987362,22.3058181818182,18.4080727272727,88.5867068209677,7.84140967263038,33,11,24.4575714595086,1342.60067805657,24.9381341688994,"Chattahoochee-Oconee","National Forest",4867363159.98588
"22",135290,13,55,37,1,8,"13_55_37_1_8","13_55_37_1","510",10,11,281,4.90437519810407,-0.981627183447664,0.190808995376544,15,803,85.5323214405004,24.4719230769231,19.6596,85.5970808476866,7.37077418473848,26,10,26.7872984625751,897.760001581473,22.8892416592049,"Chattahoochee-Oconee","National Forest",42464024706.7044
