"","STATECD","COUNTYCD","PLOT","CONDID","CYCLE","uniq_obs_unit_id","uniq_spl_unit_id","fortypcd","owngrpcd","owncd","aspect","aspect_rad","aspect_sin","aspect_cos","slope","adforcd","cpa","mean_dia","mean_actualht","mean_HD","diversity","num_trees","num_species","qmd","tph","baph","sdi","ownership","nf_np"
"134822",13,55,5,1,7,"13_55_5_1_7","13_55_5_1",405,10,11,0,0,0,1,0,803,45.729435977032,19.1885454545455,14.6858181818182,82.8537820083733,5.00138580285589,33,8,118.022023148224,1172.22849814424,19.6738356058923,13796.0533011573,"Chattahoochee-Oconee","National Forest"
"134855",13,55,5,1,8,"13_55_5_1_8","13_55_5_1",163,10,11,104,1.8151424220741,0.970295726275996,-0.241921895599668,40,803,48.2154814811227,19.1392432432432,13.4029621621622,73.9277739099311,4.91799195313907,37,8,124.129360813629,1231.71210765878,21.541792243031,15718.8112295585,"Chattahoochee-Oconee","National Forest"
"134892",13,55,5,1,9,"13_55_5_1_9","13_55_5_1",405,10,11,113,1.97222205475359,0.92050485345244,-0.390731128489274,36,803,50.1990200313053,20.574,12.6402352941176,65.7291568840474,3.70670447562801,34,7,128.464250933869,1187.09940052287,22.1308817573673,16007.5380999237,"Chattahoochee-Oconee","National Forest"
"134926",13,55,5,1,10,"13_55_5_1_10","13_55_5_1",405,10,11,90,1.5707963267949,1,6.12303176911189e-17,39,803,55.6094491953585,21.288375,13.46835,70.3142012162845,3.39117231951513,32,6,130.378474634427,1327.72977567793,23.5434818245403,18333.9922011169,"Chattahoochee-Oconee","National Forest"
"134958",13,55,5,1,11,"13_55_5_1_11","13_55_5_1",405,10,11,135,2.35619449019234,0.707106781186548,-0.707106781186547,37,803,64.7457330725635,22.4289696969697,14.8613090909091,73.3525301479356,3.36400469065148,33,6,139.121529606312,1172.22849814424,25.4062468367983,17963.960119911,"Chattahoochee-Oconee","National Forest"
"134991",13,55,5,1,12,"13_55_5_1_12","13_55_5_1",405,10,11,135,2.35619449019234,0.707106781186548,-0.707106781186547,37,803,75.1875300994789,23.0994857142857,15.0484114285714,71.334769834494,3.52512312833522,35,6,147.879271177539,1201.97030290151,28.8666662157092,20315.9362508752,"Chattahoochee-Oconee","National Forest"
"135026",13,55,19,1,7,"13_55_19_1_7","13_55_19_1",501,10,11,0,0,0,1,0,803,46.7994557524276,18.8383333333333,16.3449,97.0610898862329,6.15455062660615,24,8,103.630754894481,1379.13473656119,16.3713125283772,13173.7034900309,"Chattahoochee-Oconee","National Forest"
"135050",13,55,19,1,8,"13_55_19_1_8","13_55_19_1",503,10,11,298,5.2010811709431,-0.882947592858927,0.46947156278589,21,803,42.1574164338046,21.2164705882353,17.4453176470588,90.4751976664063,6.62305677186234,17,8,96.7243205817441,763.921880173764,12.6652463164353,6532.44276034431,"Chattahoochee-Oconee","National Forest"
"135067",13,55,19,1,9,"13_55_19_1_9","13_55_19_1",503,10,11,285,4.97418836818384,-0.965925826289068,0.258819045102521,21,803,45.6137514266064,21.5152941176471,18.4314352941176,93.1165801570833,7.67320350285577,17,9,97.9215297266132,763.921880173764,13.2205606310782,6662.70106154684,"Chattahoochee-Oconee","National Forest"
"135084",13,55,19,1,10,"13_55_19_1_10","13_55_19_1",503,10,11,285,4.97418836818384,-0.965925826289068,0.258819045102521,23,803,49.9409002223139,20.6102857142857,16.3285714285714,84.85401152859,6.92521255596755,21,8,105.303143428864,823.405489688302,15.2963193821676,8070.00839687712,"Chattahoochee-Oconee","National Forest"
"135105",13,55,19,1,11,"13_55_19_1_11","13_55_19_1",503,10,11,283,4.93928178314395,-0.974370064785235,0.224951054343865,23,803,53.4781156428299,21.0566,16.55064,89.0360859584935,6.09951684981115,20,7,106.586220685415,808.534587309667,15.5516886188131,8079.80155368709,"Chattahoochee-Oconee","National Forest"
"135125",13,55,21,1,10,"13_55_21_1_10","13_55_21_1",502,10,11,80,1.39626340159546,0.984807753012208,0.17364817766693,20,803,49.0779331094122,21.6444285714286,15.1093714285714,85.1662728933721,3.37160233295389,14,5,101.954030680498,1060.05353286252,13.5904253730741,9864.12903074236,"Chattahoochee-Oconee","National Forest"
"135139",13,55,21,1,11,"13_55_21_1_11","13_55_21_1",502,10,11,92,1.60570291183478,0.999390827019096,-0.0348994967025007,24,803,41.0130757358335,30.3711428571429,20.3345142857143,78.3258076610698,1.50699306577254,7,2,90.3458398156772,274.468496562767,10.2098358880296,2103.61851135902,"Chattahoochee-Oconee","National Forest"
"135146",13,55,21,3,11,"13_55_21_3_11","13_55_21_3",163,10,11,175,3.05432619099008,0.0871557427476586,-0.996194698091746,14,803,6.05445309421774,37.846,20.4216,53.9597315436242,1,1,1,37.846,14.8709023786343,1.67284197946175,28.2033880873979,"Chattahoochee-Oconee","National Forest"
"135147",13,55,35,1,7,"13_55_35_1_7","13_55_35_1",404,10,11,0,0,0,1,0,803,40.7576526971779,19.6184761904762,13.8611428571429,81.9408175668205,5.24069447182051,21,9,103.716010065949,1504.89420933761,17.3277367974709,14393.9624975295,"Chattahoochee-Oconee","National Forest"
"135168",13,55,35,1,8,"13_55_35_1_8","13_55_35_1",404,10,11,355,6.19591884457987,-0.0871557427476583,0.996194698091746,23,803,27.5644657961308,20.939125,14.76375,82.2926340236262,2.8218489457419,16,5,94.3298003602255,578.678797882803,10.8179156696802,4753.25336680992,"Chattahoochee-Oconee","National Forest"
"135184",13,55,35,1,9,"13_55_35_1_9","13_55_35_1",404,10,11,324,5.65486677646163,-0.587785252292473,0.809016994374947,21,803,31.5962337972515,21.4555294117647,15.5806588235294,82.4226760807628,3.32040685719463,17,6,99.1537402622816,593.549700261437,11.9399426993224,5281.71645013641,"Chattahoochee-Oconee","National Forest"
"135201",13,55,35,1,10,"13_55_35_1_10","13_55_35_1",404,10,11,340,5.93411945678072,-0.342020143325669,0.939692620785908,24,803,33.4542307482298,22.606,16.5354,83.0909171514457,3.58486101484904,16,5,100.582717163537,408.306617970476,12.1610660795285,3717.73390836601,"Chattahoochee-Oconee","National Forest"
"135217",13,55,35,1,11,"13_55_35_1_11","13_55_35_1",404,10,11,333,5.81194640914112,-0.453990499739547,0.891006524188368,21,803,38.211784332509,21.4429473684211,16.1383578947368,86.1485959822618,3.65017430572568,19,5,106.549291353814,623.291505018706,13.9955264613568,6225.17766329678,"Chattahoochee-Oconee","National Forest"
"135236",13,55,35,1,12,"13_55_35_1_12","13_55_35_1",404,10,11,343,5.98647933434055,-0.292371704722736,0.956304755963036,21,803,50.8752518846309,22.098,16.5753142857143,84.2735770509412,4.02448902924823,21,6,115.175767156117,823.405489688302,18.2399657706145,9318.37599933836,"Chattahoochee-Oconee","National Forest"
"135257",13,55,37,1,7,"13_55_37_1_7","13_55_37_1",510,10,11,0,0,0,1,0,803,84.441588987362,22.3058181818182,18.4080727272727,88.5867068209677,7.84140967263038,33,11,140.498051431328,1342.60067805657,24.9381341688994,20902.5648831556,"Chattahoochee-Oconee","National Forest"
"135290",13,55,37,1,8,"13_55_37_1_8","13_55_37_1",510,10,11,281,4.90437519810407,-0.981627183447664,0.190808995376544,15,803,85.5323214405004,24.4719230769231,19.6596,85.5970808476866,7.37077418473848,26,10,136.588957577104,897.760001581473,22.8892416592049,13358.0836834861,"Chattahoochee-Oconee","National Forest"
"135316",13,55,37,1,9,"13_55_37_1_9","13_55_37_1",510,10,11,279,4.86946861306418,-0.987688340595138,0.156434465040231,15,803,94.4839692449501,25.4293076923077,20.0699076923077,83.7617299198624,7.37077418473848,26,10,142.525237217835,897.760001581473,24.8468213298131,14302.0546048607,"Chattahoochee-Oconee","National Forest"
"135342",13,55,37,1,10,"13_55_37_1_10","13_55_37_1",510,10,11,279,4.86946861306418,-0.987688340595138,0.156434465040231,15,803,110.76894603834,26.0867407407407,20.7828444444444,85.9127986872433,7.61870765861724,27,10,150.165994379553,912.630903960107,27.5036382064104,15810.0945740524,"Chattahoochee-Oconee","National Forest"
"135369",13,55,37,1,11,"13_55_37_1_11","13_55_37_1",510,10,11,232,4.04916386462684,-0.788010753606722,-0.615661475325658,10,803,131.576328150795,26.8205185185185,21.4714666666667,82.968593768069,8.20289399752375,27,10,157.15130051005,912.630903960107,30.1437717441199,17006.988291444,"Chattahoochee-Oconee","National Forest"
"135396",13,55,37,1,12,"13_55_37_1_12","13_55_37_1",515,10,11,259,4.52040276266531,-0.981627183447664,-0.190808995376545,9,803,89.8715373468079,32.4394285714286,25.8862285714286,83.5569989112766,6.74320466590777,14,8,130.398266583571,208.19263330088,19.859055286833,2875.53402946112,"Chattahoochee-Oconee","National Forest"
"135410",13,55,55,1,11,"13_55_55_1_11","13_55_55_1",406,10,11,325,5.67232006898157,-0.573576436351046,0.819152044288992,27,803,60.2847349566951,16.7474347826087,16.764,113.864285362581,3.96828474617819,46,6,126.190973131995,2728.5276683651,26.6645671162529,35753.6719847569,"Chattahoochee-Oconee","National Forest"
"135456",13,55,55,1,12,"13_55_55_1_12","13_55_55_1",161,10,11,310,5.41052068118242,-0.766044443118978,0.642787609686539,25,803,70.8770330906403,19.0972558139535,19.1598697674419,112.310091852211,3.79701459056512,43,6,137.223250231147,2002.42624157989,27.707093951947,30017.1789319851,"Chattahoochee-Oconee","National Forest"
"135499",13,55,55,2,11,"13_55_55_2_11","13_55_55_2",504,10,11,330,5.75958653158129,-0.5,0.866025403784438,41,803,9.23769380372588,13.716,11.6967,103.171453732341,4.45565973351251,8,5,46.7553220927843,630.083758766056,4.03192585863217,1677.71817904929,"Chattahoochee-Oconee","National Forest"
"135507",13,55,55,2,12,"13_55_55_2_12","13_55_55_2",504,10,11,310,5.41052068118242,-0.766044443118978,0.642787609686539,42,803,13.2120033785723,16.9817142857143,14.1514285714286,96.9814349450461,4.71065067421325,7,5,53.2673791358276,444.840676475094,4.36447887447862,1460.21501747406,"Chattahoochee-Oconee","National Forest"
"135514",13,55,56,1,10,"13_55_56_1_10","13_55_56_1",504,10,11,0,0,0,1,0,803,93.6731038828806,22.5044,20.955,107.283656549361,8.04836073521838,20,10,121.059714851804,1319.65112704665,20.2345818627671,16177.6505718349,"Chattahoochee-Oconee","National Forest"
"135534",13,55,56,1,11,"13_55_56_1_11","13_55_56_1",504,10,11,0,0,0,1,0,803,93.9376577576457,24.1150588235294,20.2781647058824,103.20681146185,5.80223309433074,17,7,121.058116060015,1104.66623999842,20.0968707532536,13541.8560717153,"Chattahoochee-Oconee","National Forest"
"135551",13,55,56,1,12,"13_55_56_1_12","13_55_56_1",504,10,11,0,0,0,1,4,803,107.358842654288,26.416,22.0599,99.8387925386518,5.87682334681164,16,7,126.623521985451,919.423157707457,21.190563608014,12114.1491812391,"Chattahoochee-Oconee","National Forest"
